,ibu,style
197,31.0,Belgian Ale - Pale / Golden
198,35.0,Stout - Imperial
199,42.0,Brown Ale
200,25.0,IPA - Sour / Wild
201,7.0,Berliner Weisse
202,7.0,Berliner Weisse
203,17.0,Stout - Milk / Sweet
204,50.0,IIPA - Imperial / Double IPA
205,55.0,Old Ale
206,61.0,IPA
207,58.0,Stout - Imperial
208,50.0,Stout - Imperial
209,7.0,Berliner Weisse
210,10.0,Gose
211,25.0,IPA - Hazy / NEIPA
212,41.0,Brown Ale
213,7.0,Berliner Weisse - Flavored
214,24.0,Bock - Dunkler Bock
215,14.0,Mild Ale
216,30.0,Saison / Farmhouse / Grisette
217,36.0,Bitter - Premium / Strong / ESB
218,100.0,IIPA - Imperial / Double IPA
219,2.0,Gose
220,70.0,Tripel
221,75.0,IPA
222,65.0,IPA
223,47.0,Stout - Extra / Foreign
224,60.0,ISA - Session IPA
225,83.0,IPA - Black/Brown/Cascadian Dark
226,175.0,IIPA - Imperial / Double IPA
227,15.0,Pale Lager - North Am. / Light
228,57.0,IPA
229,67.0,IPA
230,60.0,IPA
231,85.0,IIPA - Imperial / Double IPA
232,24.0,Quadrupel / Abt
233,31.0,Belgian Ale - Pale / Golden
234,10.0,Witbier / Belgian White Ale
235,50.0,IPA
236,24.0,Amber Lager - Intl / Vienna
237,19.0,Blonde Ale / Golden Ale
238,21.0,Porter
239,28.0,Red Ale / Intl Amber Ale
240,40.0,Pilsener - Czech / Svetlý
241,5.0,Berliner Weisse
242,26.0,Flavored - Other
243,16.0,Belgian Ale - Strong Pale
244,22.0,Dubbel
245,65.0,IIPA - Imperial / Double IPA
246,15.0,Pale Ale - American / APA
247,55.0,IPA
248,20.0,Pale Ale - American / APA
249,24.0,Saison / Farmhouse / Grisette
250,32.0,Tripel
251,55.0,IPA
252,78.0,IPA
253,55.0,Pale Lager - North Am. / Light
254,16.0,Weissbier - Hefeweizen
255,18.0,Mead
256,32.0,Porter
257,30.0,Bock - Doppelbock
258,75.0,Stout - Imperial
259,75.0,Stout - Imperial
260,12.0,IPA
261,72.0,Pale Lager - India / Hoppy
262,10.0,Mild Ale
263,35.0,Stout - Extra / Foreign
264,17.0,Red Ale - Irish
265,12.0,Belgian Ale - Strong Pale
266,5.0,Sour / Wild Beer
267,30.0,Stout - Dry
268,43.0,Pale Ale - American / APA
269,60.0,IPA
270,32.0,Stout - Milk / Sweet
271,15.0,BarleyWine / WheatWine / RyeWine
272,43.0,Pale Ale - American / APA
273,40.0,Pale Ale - American / APA
274,15.0,Flavored - Fruit
275,25.0,Smoked - Rauchbier
276,71.0,IPA
277,35.0,ISA - Session IPA
278,41.0,Pale Lager - Intl / Premium
279,56.0,Stout - Imperial
280,25.0,Saison / Farmhouse / Grisette
281,24.0,Amber Lager - Intl / Vienna
282,22.0,Flavored - Fruit
283,18.0,Altbier / Sticke Alt
284,45.0,Bitter - Premium / Strong / ESB
285,65.0,IPA - Black/Brown/Cascadian Dark
286,34.0,Bock - Eisbock
287,37.0,Pale Ale - American / APA
288,40.0,Pale Ale - American / APA
289,70.0,IIPA - Imperial / Double IPA
290,55.0,IPA
291,26.0,Flavored - Other
292,65.0,IPA
293,77.0,BarleyWine / WheatWine / RyeWine
294,24.0,Blonde Ale / Golden Ale
295,53.0,Porter - Baltic
296,50.0,BarleyWine / WheatWine / RyeWine
297,70.0,IPA - Black/Brown/Cascadian Dark
298,60.0,IIPA - Imperial / Double IPA
299,45.0,Stout - Imperial
300,50.0,Stout - Imperial
301,20.0,Flavored - Fruit
302,45.0,Porter - Smoked
303,55.0,IPA
304,28.0,Stout - Milk / Sweet
305,40.0,Strong Ale - American
306,18.0,Kölsch / Kölsch-Style
307,15.0,Witbier / Belgian White Ale
308,22.0,Old Ale
309,20.0,Sour - Flanders Red / Bruin
310,40.0,Saison / Farmhouse / Grisette
311,32.0,Saison / Farmhouse / Grisette
312,40.0,Saison / Farmhouse / Grisette
313,32.0,Saison / Farmhouse / Grisette
314,50.0,IPA - White
315,30.0,Saison / Farmhouse / Grisette
316,60.0,IPA
317,30.0,Saison / Farmhouse / Grisette
318,60.0,BarleyWine / WheatWine / RyeWine
319,30.0,Sour/Wild - Dark
320,100.0,IPA - Belgian
321,100.0,IPA - Belgian
322,100.0,IPA - Belgian
323,70.0,IPA
324,40.0,Stout - Imperial
325,40.0,Stout - Imperial
326,20.0,Sour / Wild Beer
327,50.0,IPA - White
328,60.0,IPA - Hazy / NEIPA
329,40.0,Saison/Farmhouse - Flavored
330,40.0,Saison/Farmhouse - Flavored
331,40.0,Saison/Farmhouse - Flavored
332,50.0,IPA
333,30.0,Saison / Farmhouse / Grisette
334,70.0,IPA
335,20.0,Sour / Wild Beer
336,30.0,Tripel
337,60.0,Stout - Imperial
339,20.0,Witbier / Belgian White Ale
340,40.0,Saison / Farmhouse / Grisette
341,60.0,BarleyWine / WheatWine / RyeWine
342,64.0,BarleyWine / WheatWine / RyeWine
343,13.0,Blonde Ale / Golden Ale
344,30.0,Bitter - Premium / Strong / ESB
345,72.0,IPA
346,16.0,Flavored - Fruit
347,18.0,Blonde Ale / Golden Ale
348,15.0,Blonde Ale / Golden Ale
349,15.0,Flavored - Fruit
350,18.0,Blonde Ale / Golden Ale
351,35.0,Pilsener / Pils / Pilsner
352,73.0,IIPA - Imperial / Double IPA
353,26.0,Blonde Ale / Golden Ale
354,90.0,IPA - Black/Brown/Cascadian Dark
355,25.0,Dubbel
356,26.0,Weissbier - Dunkelweizen
357,20.0,Kölsch / Kölsch-Style
358,30.0,Strong Ale - American
359,52.0,Stout - Imperial
360,70.0,IPA
361,68.0,IPA
362,23.0,Weissbier - Hefeweizen
363,24.0,Porter
364,28.0,Old Ale
365,35.0,Belgian Ale - Pale / Golden
366,70.0,IPA
367,22.0,Saison / Farmhouse / Grisette
368,93.0,IPA
369,32.0,Pale Ale - American / APA
370,70.0,IPA - Rye
371,60.0,IPA
372,32.0,Pale Ale - American / APA
373,22.0,Sour - Flanders Red / Bruin
374,11.0,Weissbier - Hefeweizen
375,53.0,Pale Ale - American / APA
376,29.0,Stout - Milk / Sweet
377,20.0,Brown Ale
378,60.0,BarleyWine / WheatWine / RyeWine
379,60.0,IPA - Black/Brown/Cascadian Dark
380,70.0,Stout
381,30.0,Red Ale / Intl Amber Ale
382,50.0,IPA
383,19.0,Dark Lager - Dunkel / Tmavý
384,80.0,Stout - Imperial
385,27.0,Blonde Ale / Golden Ale
386,26.0,Dubbel
387,58.0,IPA
388,75.0,IPA
389,57.0,IPA
390,26.0,Flavored - Other
391,27.0,Saison / Farmhouse / Grisette
392,12.0,Flavored - Other
393,20.0,Wheat Ale
394,21.0,Belgian Ale - Pale / Golden
395,21.0,Flavored - Fruit
396,13.0,Red Ale / Intl Amber Ale
397,85.0,IIPA - Imperial / Double IPA
398,8.0,Stout - Dry
399,25.0,Sour / Wild Beer
400,30.0,Strong Ale - American
401,5.0,Specialty Grain - Other
402,10.0,Weissbier - Hefeweizen
403,95.0,IPA
404,35.0,Flavored - Other
405,12.0,Flavored - Other
406,30.0,Märzen / Oktoberfest Bier
407,100.0,IIPA - Imperial / Double IPA
408,30.0,IPA - Sour / Wild
409,25.0,Quadrupel / Abt
410,6.0,Sour / Wild Beer
411,20.0,Scotch Ale / Wee Heavy
412,20.0,Scotch Ale / Wee Heavy
413,25.0,Stout - Flavored
414,20.0,Red Ale / Intl Amber Ale
415,25.0,Flavored - Other
416,20.0,IIPA - Imperial / Double IPA
417,6.0,Lambic -  Unblended Jonge / Oude
418,25.0,Saison / Farmhouse / Grisette
419,20.0,Wheat Ale
420,20.0,Brown Ale
421,80.0,IIPA - Imperial / Double IPA
422,40.0,Altbier / Sticke Alt
423,18.0,Berliner Weisse
424,25.0,Saison / Farmhouse / Grisette
425,33.0,Specialty Grain - Other
426,27.0,Tripel
427,30.0,Pale Ale - American / APA
428,24.0,Specialty Grain - Other
429,22.0,Pilsener / Pils / Pilsner
430,28.0,Bock - Doppelbock
431,46.0,Pale Ale - American / APA
432,19.0,Pale Ale - American / APA
433,28.0,Pale Lager - North Am. / Light
434,64.0,IPA
435,50.0,Pale Ale - American / APA
436,34.0,Altbier / Sticke Alt
437,21.0,Red Ale / Intl Amber Ale
438,40.0,IPA
439,30.0,Red Ale / Intl Amber Ale
440,30.0,Altbier / Sticke Alt
441,28.0,Bock - Dunkler Bock
442,80.0,BarleyWine / WheatWine / RyeWine
443,20.0,Scottish Ale
444,21.0,Saison / Farmhouse / Grisette
445,28.0,Porter - Imperial
446,66.0,IPA
447,32.0,Porter - Baltic
448,35.0,Stout
449,25.0,Porter
450,17.0,Witbier / Belgian White Ale
451,77.0,IPA
452,14.0,Red Ale / Intl Amber Ale
453,28.0,Brown Ale
454,18.0,Pilsener - Czech / Svetlý
455,16.0,Cream Ale
456,72.0,IPA - Black/Brown/Cascadian Dark
457,69.0,IPA
458,16.0,Porter - Baltic
459,85.0,Stout - Imperial
460,86.0,IIPA - Imperial / Double IPA
461,17.0,Flavored - Other
462,45.0,Strong Ale - American
463,24.0,Tripel
464,18.0,Belgian Ale - Pale / Golden
465,50.0,IPA - Black/Brown/Cascadian Dark
466,15.0,Weissbier - Hefeweizen
467,27.0,Saison / Farmhouse / Grisette
468,64.0,IPA
469,62.0,IPA
