,ibu,style
11544,13.0,Wheat Ale
11545,38.0,Pale Ale - American / APA
11546,28.0,Red Ale / Intl Amber Ale
11547,58.0,IPA
11548,53.0,IPA - White
11549,80.0,IPA - Black/Brown/Cascadian Dark
11550,86.0,IIPA - Imperial / Double IPA
11551,62.0,IPA
11552,21.0,Blonde Ale / Golden Ale
11553,16.0,Gose
11554,29.0,Stout - Milk / Sweet
11555,35.0,Porter
11556,30.0,Scottish Ale
11557,42.0,ISA - Session IPA
11558,30.0,Helles / Dortmunder Export
11559,25.0,Mild Ale
11560,30.0,Märzen / Oktoberfest Bier
11561,31.0,Pale Ale - English
11562,8.0,Berliner Weisse
11563,30.0,Wheat Ale
11564,70.0,IPA
11565,33.0,Red Ale / Intl Amber Ale
11566,35.0,Stout - Dry
11567,18.0,Saison / Farmhouse / Grisette
11568,48.0,Dark Lager - India / Hoppy
11569,16.0,Saison / Farmhouse / Grisette
11570,25.0,Saison / Farmhouse / Grisette
11571,11.0,California Common / Steam Beer
11572,62.0,Stout - Imperial
11573,27.0,Scotch Ale / Wee Heavy
11574,35.0,Pilsener / Pils / Pilsner
11575,24.0,Quadrupel / Abt
11576,20.0,Tripel
11577,50.0,Pale Ale - American / APA
11578,5.0,Gose
11579,40.0,Pale Ale - American / APA
11580,42.0,Pale Ale - American / APA
11581,37.0,Red Ale / Intl Amber Ale
11582,46.0,Pale Ale - American / APA
11583,25.0,Cream Ale
11584,80.0,IPA
11585,20.0,Wheat Ale
11586,24.0,Red Ale / Intl Amber Ale
11587,27.0,Saison / Farmhouse / Grisette
11588,35.0,Belgian Ale - Strong Pale
11589,25.0,Pale Lager - North Am. / Light
11590,25.0,Flavored - Other
11591,40.0,Witbier / Belgian White Ale
11592,30.0,Quadrupel / Abt
11593,50.0,IPA
11594,18.0,Weissbier - Dunkelweizen
11595,32.0,Stout - Imperial
11596,55.0,Wheat Ale
11597,25.0,Weissbier - Dunkelweizen
11598,24.0,Stout - Dry
11599,30.0,Bière de Garde / de Mars
11600,40.0,Pale Ale - American / APA
11601,35.0,Pilsener - Imperial
11602,60.0,Stout - Imperial
11603,29.0,Flavored - Other
11604,45.0,Brown Ale
11605,45.0,Scotch Ale / Wee Heavy
11606,10.0,IPA - Brut
11607,60.0,IPA
11608,40.0,Bock- Heller Bock / Maibock
11609,15.0,Belgian Ale - Strong Pale
11610,15.0,Gose
11611,25.0,Weissbier - Hefeweizen
11612,60.0,Stout - Imperial
11613,60.0,Stout - Imperial
11614,12.0,Sour / Wild Beer
11615,40.0,Brown Ale
11616,100.0,IPA - Rye
11617,30.0,Märzen / Oktoberfest Bier
11618,70.0,IPA
11619,14.0,Porter - Baltic
11620,100.0,IIPA - Imperial / Double IPA
11621,35.0,Pale Ale - English
11622,35.0,Porter - Flavored
11623,40.0,Pale Ale - American / APA
11624,100.0,IPA - Rye
11625,60.0,Red Ale / Intl Amber Ale
11626,37.0,Pale Lager - North Am. / Light
11627,30.0,Bock - Weizenbock
11628,70.0,IPA
11629,12.0,Saison / Farmhouse / Grisette
11630,46.0,Flavored - Other
11631,60.0,Pale Ale - American / APA
11632,25.0,Flavored - Fruit
11633,44.0,Tripel
11634,9.0,Witbier / Belgian White Ale
11635,60.0,Red Ale / Intl Amber Ale
11636,20.0,Bock - Weizenbock
11637,12.0,Pale Lager - Intl / Premium
11638,40.0,Red Ale / Intl Amber Ale
11639,20.0,Amber Lager - Intl / Vienna
11640,15.0,Blonde Ale / Golden Ale
11641,70.0,IPA
11642,60.0,Pale Ale - American / APA
11643,39.0,Stout - Imperial
11644,13.0,Weissbier - Hefeweizen
11645,80.0,IIPA - Imperial / Double IPA
11646,20.0,Belgian Ale - Strong Pale
11647,100.0,IIPA - Imperial / Double IPA
11648,58.0,BarleyWine / WheatWine / RyeWine
11649,30.0,Brown Ale
11650,90.0,IPA - Black/Brown/Cascadian Dark
11651,19.0,Porter
11652,12.0,Blonde Ale / Golden Ale
11653,40.0,BarleyWine / WheatWine / RyeWine
11654,24.0,Bock - Doppelbock
11655,100.0,IPA - Black/Brown/Cascadian Dark
11656,100.0,IIPA - Imperial / Double IPA
11657,47.0,Porter - Imperial Flavored
11658,15.0,Wheat Ale
11659,13.0,Weissbier - Hefeweizen
11660,34.0,Pale Lager - India / Hoppy
11661,16.0,Wheat Ale - India / Hopfenweisse
11662,17.0,Red Ale - Irish
11663,25.0,Kölsch / Kölsch-Style
11664,55.0,IPA
11665,20.0,Bock - Weizenbock
11666,70.0,IPA
11667,15.0,Flavored - Fruit
11668,20.0,Blonde Ale / Golden Ale
11669,14.0,Blonde Ale / Golden Ale
11670,13.0,Flavored - Fruit
11671,35.0,Porter
11672,55.0,ISA - Session IPA
11673,14.0,Mead - Braggot/Hopped
11674,19.0,Porter
11675,22.0,Scotch Ale / Wee Heavy
11676,85.0,IPA
11677,100.0,IPA
11678,55.0,Pale Lager - India / Hoppy
11679,30.0,Scottish Ale
11680,38.0,Porter
11681,84.0,IPA
11682,51.0,IPA
11683,32.0,Flavored - Other
11684,35.0,Stout - Milk / Sweet
11685,55.0,Strong Ale - American
11686,82.0,Stout - Imperial
11687,82.0,Stout - Imperial
11688,130.0,IIPA - Imperial / Double IPA
11689,63.0,IPA - Belgian
11690,24.0,Quadrupel / Abt
11691,23.0,Quadrupel / Abt
11692,100.0,IPA - Black/Brown/Cascadian Dark
11693,23.0,Belgian Ale - Strong Pale
11694,80.0,IIPA - Imperial / Double IPA
11695,20.0,Flavored - Fruit
11696,60.0,IPA
11697,30.0,Stout - Dry
11698,68.0,IPA
11699,20.0,Red Ale - Irish
11700,18.0,Kölsch / Kölsch-Style
11701,20.0,Witbier / Belgian White Ale
11702,18.0,Weissbier - Hefeweizen
11703,12.0,Flavored - Fruit
11704,50.0,BarleyWine / WheatWine / RyeWine
11705,25.0,Brown Ale
11706,12.0,Kölsch / Kölsch-Style
11707,28.0,Porter
11708,65.0,IPA
11709,85.0,IIPA - Imperial / Double IPA
11710,80.0,IPA
11711,18.0,Pale Lager - North Am. / Light
11712,8.0,Weissbier - Hefeweizen
11713,66.0,IPA
11714,24.0,Altbier / Sticke Alt
11715,70.0,ISA - Session IPA
11716,38.0,Red Ale / Intl Amber Ale
11717,24.0,Brown Ale
11718,15.0,Saison / Farmhouse / Grisette
11719,80.0,IIPA - Imperial / Double IPA
11720,45.0,Stout - Imperial
11721,32.0,Porter
11722,90.0,IPA
11723,85.0,IPA
11724,70.0,ISA - Session IPA
11725,75.0,IPA
11726,20.0,Porter
11727,45.0,Stout
11728,28.0,Tripel
11729,35.0,Pale Ale - American / APA
11730,65.0,IPA - Black/Brown/Cascadian Dark
11731,25.0,Brown Ale
11732,77.0,IPA
11733,45.0,Sour / Wild Beer
11734,49.0,Bitter - Ordinary / Best
11735,100.0,IPA - Black/Brown/Cascadian Dark
11736,35.0,Stout - Dry
11737,100.0,IPA
11738,60.0,IPA
11739,20.0,Kölsch / Kölsch-Style
11740,25.0,Märzen / Oktoberfest Bier
11741,26.0,Porter
11742,20.0,Flavored - Fruit
11743,23.0,Belgian Ale - Pale / Golden
11744,75.0,IPA
11745,55.0,BarleyWine / WheatWine / RyeWine
11746,30.0,Bitter - Premium / Strong / ESB
11747,25.0,Kölsch / Kölsch-Style
11748,57.0,IPA - Hazy / NEIPA
11749,18.0,Cream Ale
11750,80.0,IPA
11751,32.0,Stout - Milk / Sweet
11752,21.0,Belgian Ale - Pale / Golden
11753,17.0,Blonde Ale / Golden Ale
11754,31.0,Old Ale
11755,12.0,Flavored - Fruit
11756,47.0,IPA
11757,45.0,Sour / Wild Beer
11758,35.0,IPA - Hazy / NEIPA
11759,55.0,IPA
11760,24.0,Porter
11761,30.0,Brown Ale
11763,65.0,Saison / Farmhouse / Grisette
11765,55.0,IPA
11766,40.0,IPA
11767,17.0,Brown Ale
11768,35.0,Altbier / Sticke Alt
11769,20.0,Flavored - Fruit
11770,25.0,Bock - Doppelbock
11771,55.0,IPA
11772,50.0,Stout - Imperial
11773,18.0,Witbier / Belgian White Ale
11774,30.0,Pilsener / Pils / Pilsner
11775,30.0,Stout
11776,35.0,Pale Ale - American / APA
11777,22.0,Amber Lager - Intl / Vienna
11778,22.0,Smoked - Rauchbier
11779,21.0,Helles / Dortmunder Export
11780,60.0,IPA - Hazy / NEIPA
11781,28.0,Pilsener - Czech / Svetlý
11782,67.0,Strong Ale - American
11783,38.0,Bock - Weizenbock
11784,68.0,IPA - Black/Brown/Cascadian Dark
11785,12.0,Pilsener - Czech / Svetlý
11786,68.0,IPA - Black/Brown/Cascadian Dark
11787,29.0,Sour / Wild Beer
11788,28.0,California Common / Steam Beer
11789,22.0,Sour / Wild Beer
11790,38.0,BarleyWine / WheatWine / RyeWine
11791,58.0,IPA
11792,35.0,Pale Lager - India / Hoppy
11793,80.0,IPA
11794,35.0,Pale Ale - American / APA
11795,28.0,Bière de Garde / de Mars
11796,34.0,Pale Ale - American / APA
11797,22.0,Saison / Farmhouse / Grisette
11798,35.0,Saison / Farmhouse / Grisette
11799,10.0,Sour / Wild Beer
11800,28.0,Flavored - Fruit
11801,33.0,Pale Ale - American / APA
11802,18.0,Gose
11803,32.0,Traditional Ale - Other
11804,17.0,Zwickelbier/Kellerbier/Landbier
11805,80.0,IPA - Black/Brown/Cascadian Dark
11806,52.0,Red Ale / Intl Amber Ale
11807,52.0,Red Ale / Intl Amber Ale
11808,15.0,Cream Ale
11809,42.0,Pilsener - Czech / Svetlý
11810,19.0,Bock - Doppelbock
11811,51.0,Altbier / Sticke Alt
11812,32.0,Märzen / Oktoberfest Bier
11813,70.0,Stout - Imperial
11814,22.0,Kölsch / Kölsch-Style
11815,7.0,Gose
11816,37.0,Stout - Milk / Sweet
11817,14.0,Wheat Ale
11818,26.0,Amber Lager - Czech / Polotmavý
11819,23.0,Flavored - Other
11820,23.0,Stout
11821,72.0,IPA - Black/Brown/Cascadian Dark
11822,78.0,IPA
11823,15.0,Witbier / Belgian White Ale
11824,24.0,Blonde Ale / Golden Ale
11825,30.0,IPA - Brut
11826,16.0,Stout - Milk / Sweet
11827,29.0,Brown Ale
11828,99.0,IIPA - Imperial / Double IPA
11829,15.0,Stout - Milk / Sweet
11830,66.0,Pale Ale - American / APA
11831,30.0,Stout - Milk / Sweet
11832,73.0,Pilsener - Imperial
11833,18.0,Pale Lager - Intl / Premium
11834,20.0,Sour / Wild Beer
11835,20.0,Flavored - Fruit
11836,10.0,Berliner Weisse
11837,25.0,Porter - Baltic
11838,10.0,Gose
11839,65.0,IPA
11840,7.0,Sour / Wild Beer
11841,60.0,Porter - Imperial
11842,34.0,Pilsener / Pils / Pilsner
11843,42.0,Red Ale / Intl Amber Ale
11844,52.0,ISA - Session IPA
11845,58.0,Bitter - Premium / Strong / ESB
11846,29.0,Stout - Milk / Sweet
11847,46.0,Porter
11848,39.0,Blonde Ale / Golden Ale
11849,10.0,Flavored - Fruit
11850,70.0,IIPA - Imperial / Double IPA
11851,17.0,Blonde Ale / Golden Ale
11852,10.0,Pale Lager - North Am. / Light
11853,19.0,Porter
11854,65.0,IPA
11855,18.0,Pale Lager - Intl / Premium
11856,33.0,Stout - Milk / Sweet
11857,40.0,Pale Ale - American / APA
11858,24.0,Cream Ale
11859,33.0,Stout - Milk / Sweet
11860,65.0,IPA
11861,30.0,Brown Ale
11862,27.0,Saison / Farmhouse / Grisette
11863,43.0,California Common / Steam Beer
11864,51.0,Pale Ale - American / APA
11865,87.0,ISA - Session IPA
11866,15.0,Porter
11867,14.0,Flavored - Other
11868,88.0,IPA
11869,31.0,Blonde Ale / Golden Ale
11870,67.0,IPA - Flavored
11871,90.0,Specialty Grain - Other
11872,43.0,Weissbier - Hefeweizen
11873,85.0,IPA - Black/Brown/Cascadian Dark
11874,40.0,Tripel
11875,27.0,Brown Ale
11876,24.0,Märzen / Oktoberfest Bier
11877,29.0,Porter - Imperial Flavored
11878,85.0,BarleyWine / WheatWine / RyeWine
11879,95.0,IIPA - Imperial / Double IPA
11880,75.0,Pale Ale - American / APA
11881,20.0,Quadrupel / Abt
11882,60.0,Stout
11883,40.0,Pale Ale - American / APA
11884,45.0,Red Ale / Intl Amber Ale
11885,40.0,Pale Ale - American / APA
11886,60.0,Stout
11887,70.0,IPA
11888,15.0,Witbier / Belgian White Ale
11889,35.0,Saison / Farmhouse / Grisette
11890,15.0,Witbier / Belgian White Ale
11891,30.0,Stout - Flavored
11892,60.0,Stout
11893,90.0,IPA
11894,20.0,Sour - Flanders Red / Bruin
11895,30.0,Porter
11896,60.0,IPA
11897,40.0,Stout
11898,43.0,IPA - White
11899,80.0,IPA - Black/Brown/Cascadian Dark
11900,15.0,Witbier / Belgian White Ale
11901,50.0,Sour / Wild Beer
11902,60.0,ISA - Session IPA
11903,16.0,Cream Ale
11904,71.0,Stout - Imperial
11905,24.0,Blonde Ale / Golden Ale
11906,65.0,Stout - Imperial
11907,15.0,Flavored - Fruit
11908,35.0,Stout - Oatmeal
11909,21.0,Red Ale - Irish
11910,7.0,Berliner Weisse
11911,29.0,Saison / Farmhouse / Grisette
11912,4.0,Sour / Wild Beer
11913,7.0,Gose
11914,35.0,Stout - Imperial Flavored
11915,40.0,IPA
11916,38.0,Porter
11917,24.0,Flavored - Fruit
11918,7.0,Gose
11919,43.0,IPA - Milkshake
11920,66.0,Red Ale / Intl Amber Ale
11921,77.0,IPA
11922,7.0,Berliner Weisse
11923,24.0,Red Ale - Irish
11924,7.0,Berliner Weisse
11925,33.0,Belgian Ale - Pale / Golden
11926,50.0,Pale Ale - American / APA
11927,68.0,Brown Ale
11928,24.0,Brown Ale
11929,90.0,IPA
11930,24.0,Flavored - Chili / Peppers
11931,32.0,Bock - Doppelbock
11932,30.0,Old Ale
11933,70.0,Bitter - Premium / Strong / ESB
11934,75.0,Pale Ale - American / APA
11935,35.0,Pilsener / Pils / Pilsner
11936,84.0,IPA
11937,28.0,Flavored - Fruit
11938,30.0,Pale Ale - American / APA
11939,40.0,Stout - Imperial Flavored
11940,60.0,IPA
11941,40.0,Stout - Milk / Sweet
11942,40.0,Pale Ale - American / APA
11943,60.0,IPA
11944,40.0,Pale Ale - American / APA
11945,20.0,Cream Ale
11946,120.0,IIPA - Imperial / Double IPA
11947,30.0,Saison / Farmhouse / Grisette
11948,10.0,Tripel
11949,16.0,Märzen / Oktoberfest Bier
11950,45.0,Belgian Ale - Pale / Golden
11951,9.0,Saison / Farmhouse / Grisette
11952,60.0,IPA
11953,6.0,Sour / Wild Beer
11954,20.0,Saison / Farmhouse / Grisette
11955,30.0,Saison / Farmhouse / Grisette
11956,30.0,Saison / Farmhouse / Grisette
11957,10.0,Sour / Wild Beer
11958,10.0,Gose - Flavored
11959,47.0,Stout - Imperial
11960,25.0,Sour / Wild Beer
11961,50.0,IPA
11962,30.0,Stout
11963,35.0,Saison / Farmhouse / Grisette
11964,40.0,IPA
11965,47.0,Stout - Imperial
11966,40.0,Pale Ale - American / APA
11967,70.0,IPA
11968,75.0,IIPA - Imperial / Double IPA
11969,40.0,IIPA - Imperial / Double IPA
11970,20.0,Saison / Farmhouse / Grisette
11971,7.0,Sour / Wild Beer
11972,15.0,Wheat Ale
11973,40.0,Belgian Ale - Pale / Golden
11974,50.0,Pale Ale - American / APA
11975,12.0,Dubbel
11976,70.0,IIPA - Imperial / Double IPA
11977,35.0,BarleyWine / WheatWine / RyeWine
11978,47.0,Stout - Imperial
11979,47.0,Stout - Imperial
11980,7.0,Sour / Wild Beer
11981,35.0,Belgian Ale - Pale / Golden
11982,10.0,Flavored - Fruit
11983,5.0,Saison / Farmhouse / Grisette
11984,20.0,Sour / Wild Beer
11985,40.0,Pale Ale - American / APA
11986,47.0,Stout - Imperial
11987,30.0,Stout
11988,10.0,Flavored - Fruit
11989,40.0,Saison / Farmhouse / Grisette
11990,20.0,Saison / Farmhouse / Grisette
11991,4.0,Sour / Wild Beer
11992,50.0,IPA
11993,10.0,Gose
11994,12.0,Dubbel
11995,40.0,Saison / Farmhouse / Grisette
11996,15.0,Belgian Ale - Pale / Golden
11997,10.0,Old Ale
11998,10.0,Tripel
11999,5.0,Sour / Wild Beer
12000,20.0,Sour / Wild Beer
12001,25.0,Flavored - Other
12002,30.0,Belgian Ale - Pale / Golden
12003,28.0,Stout - Milk / Sweet
12004,32.0,Porter
12005,35.0,Brown Ale
12006,25.0,Flavored - Other
12007,28.0,Saison / Farmhouse / Grisette
12008,70.0,IPA
12009,30.0,Altbier / Sticke Alt
12010,20.0,Flavored - Chili / Peppers
12011,20.0,Blonde Ale / Golden Ale
12012,60.0,IPA
12013,20.0,Pilsener / Pils / Pilsner
12014,25.0,Red Ale / Intl Amber Ale
12015,72.0,Altbier / Sticke Alt
12016,29.0,Red Ale / Intl Amber Ale
12017,32.0,Porter
12018,28.0,Saison / Farmhouse / Grisette
12019,60.0,IPA
12020,34.0,Brown Ale
12021,17.0,Belgian Ale - Pale / Golden
12022,70.0,Stout - Imperial
12023,125.0,IIPA - Imperial / Double IPA
12024,100.0,IIPA - Imperial / Double IPA
12025,16.0,Mild Ale
12026,25.0,Belgian Ale - Strong Pale
12027,24.0,Sour / Wild Beer
12028,14.0,Dubbel
12029,16.0,Flavored - Fruit
12030,28.0,Stout - Milk / Sweet
12031,121.0,BarleyWine / WheatWine / RyeWine
12032,22.0,Saison / Farmhouse / Grisette
12033,24.0,Belgian Ale - Pale / Golden
12034,24.0,Belgian Ale - Strong Pale
12035,40.0,Bitter - Premium / Strong / ESB
12036,22.0,Flavored - Other
12037,24.0,Saison / Farmhouse / Grisette
12038,31.0,Tripel
12039,30.0,Red Ale / Intl Amber Ale
12040,28.0,Scottish Ale
12041,25.0,Märzen / Oktoberfest Bier
12042,25.0,Belgian Ale - Strong Pale
12043,56.0,IPA
12044,21.0,Belgian Ale - Pale / Golden
12045,22.0,Flavored - Other
12046,31.0,Saison / Farmhouse / Grisette
12047,23.0,Saison / Farmhouse / Grisette
12048,22.0,Blonde Ale / Golden Ale
12049,50.0,Pale Ale - American / APA
12050,32.0,Stout
12051,17.0,Weissbier - Hefeweizen
12052,24.0,Bock - Dunkler Bock
12053,20.0,Saison / Farmhouse / Grisette
12054,27.0,ISA - Session IPA
12055,68.0,Pale Ale - American / APA
12056,14.0,Weissbier - Hefeweizen
12057,11.0,Flavored - Other
12058,50.0,Pale Lager - North Am. / Light
12059,65.0,IPA
12060,44.0,Strong Ale - American
12061,20.0,Mild Ale
12062,28.0,Stout - Milk / Sweet
12063,73.0,BarleyWine / WheatWine / RyeWine
12065,81.0,IIPA - Imperial / Double IPA
12066,31.0,Belgian Ale - Strong Pale
12067,19.0,Dubbel
12068,35.0,Pilsener - Czech / Svetlý
12069,75.0,Stout - Imperial
12070,24.0,Sour / Wild Beer
12071,19.0,Scottish Ale
12072,14.0,Witbier / Belgian White Ale
12073,16.0,Flavored - Chili / Peppers
12074,45.0,Red Ale / Intl Amber Ale
12075,59.0,IPA
12076,22.0,Kölsch / Kölsch-Style
12077,17.0,Cream Ale
12078,30.0,Stout - Milk / Sweet
12079,26.0,Sour - Flanders Red / Bruin
12080,100.0,Pale Lager - India / Hoppy
12081,45.0,Stout - Imperial
12082,30.0,Brown Ale
12083,20.0,Weissbier - Dunkelweizen
12084,46.0,Pale Ale - American / APA
12085,18.0,Kölsch / Kölsch-Style
12086,54.0,Pale Ale - American / APA
12087,30.0,Porter
12088,23.0,Stout
12089,19.0,Weissbier - Hefeweizen
12090,27.0,Red Ale / Intl Amber Ale
12091,21.0,Flavored - Fruit
12092,66.0,IPA
12093,73.0,IPA
12094,18.0,Flavored - Fruit
12095,46.0,Porter
12096,23.0,Belgian Ale - Pale / Golden
12097,20.0,Brown Ale
12098,60.0,IIPA - Imperial / Double IPA
12099,135.0,IIPA - Imperial / Double IPA
12100,135.0,IIPA - Imperial / Double IPA
12101,19.0,Mild Ale
12102,74.0,Pale Ale - American / APA
12103,42.0,Stout - Imperial
12104,71.0,Bitter - Premium / Strong / ESB
12105,36.0,BarleyWine / WheatWine / RyeWine
12106,10.0,Stout - Milk / Sweet
12107,89.0,IPA
12108,42.0,Specialty Grain - Other
12109,56.0,Stout - Milk / Sweet
12110,70.0,IPA
12111,45.0,Pale Ale - American / APA
12112,24.0,Kölsch / Kölsch-Style
12113,20.0,IPA - Brut
12114,20.0,Blonde Ale / Golden Ale
12115,28.0,Saison / Farmhouse / Grisette
12116,16.0,Cream Ale
12117,23.0,Red Ale / Intl Amber Ale
12118,27.0,Pilsener / Pils / Pilsner
12119,64.0,IPA - Flavored
12120,25.0,IPA - Brut
12121,48.0,IPA
12122,80.0,IPA - Hazy / NEIPA
12123,40.0,Brown Ale
12124,69.0,IPA
12125,47.0,Stout - Imperial
12126,21.0,Bitter - Premium / Strong / ESB
12127,18.0,Wheat Ale
12128,65.0,Specialty Grain - Other
12129,21.0,Stout
12130,35.0,Pale Ale - American / APA
12131,22.0,Flavored - Other
12132,17.0,Flavored - Other
12133,55.0,IPA
12134,21.0,Blonde Ale / Golden Ale
12135,23.0,Saison / Farmhouse / Grisette
12136,24.0,Porter
12137,19.0,Bock - Doppelbock
12138,30.0,Pilsener / Pils / Pilsner
12139,25.0,IPA - Brut
12140,20.0,Amber Lager - Intl / Vienna
12141,30.0,Belgian Ale - Pale / Golden
12142,45.0,Altbier / Sticke Alt
12143,78.0,IPA
12144,20.0,Red Ale / Intl Amber Ale
12145,19.0,Amber Lager - Intl / Vienna
12146,25.0,Helles / Dortmunder Export
12147,35.0,Stout - Extra / Foreign
12148,30.0,Dark Lager - Dunkel / Tmavý
12149,28.0,Pale Ale - American / APA
12150,32.0,IIPA - Imperial / Double IPA
12151,45.0,Pale Ale - American / APA
12152,78.0,IPA
12153,92.0,IIPA - Imperial / Double IPA
12154,38.0,Malt Liquor
12155,35.0,Bock- Heller Bock / Maibock
12156,15.0,Weissbier - Hefeweizen
12157,65.0,IPA
12158,20.0,Red Ale / Intl Amber Ale
12159,5.0,Radler / Shandy
12160,28.0,Flavored - Fruit
12161,28.0,Flavored - Fruit
12162,28.0,Flavored - Fruit
12163,19.0,Brown Ale
12164,35.0,Märzen / Oktoberfest Bier
12165,22.0,Märzen / Oktoberfest Bier
12166,30.0,Wheat Ale - India / Hopfenweisse
12167,40.0,Pale Ale - American / APA
12168,90.0,IIPA - Imperial / Double IPA
12169,20.0,Dark Lager - Dunkel / Tmavý
12170,20.0,Porter - Imperial
12171,31.0,Pilsener / Pils / Pilsner
12172,20.0,Stout - Milk / Sweet
12173,55.0,IPA - Flavored
12174,57.0,Strong Ale - American
12175,45.0,Pale Ale
12176,33.0,Bock - Doppelbock
12177,18.0,Porter
12178,27.0,Flavored - Chili / Peppers
12179,78.0,IPA - Rye
12180,87.0,IPA
12181,20.0,Brown Ale
12182,33.0,Red Ale / Intl Amber Ale
12183,55.0,IPA
12184,45.0,Pale Ale - American / APA
12185,18.0,Porter
12186,15.0,Flavored - Pumpkin / Vegetables
12187,80.0,IPA
12188,40.0,Flavored - Other
12189,51.0,Pilsener / Pils / Pilsner
12190,150.0,IIPA - Imperial / Double IPA
12191,100.0,IPA
12192,65.0,IPA
12193,70.0,IPA - Hazy / NEIPA
12194,80.0,IIPA - Imperial / Double IPA
12195,35.0,Bière de Garde / de Mars
12196,17.0,Sour / Wild Beer
12197,45.0,Saison/Farmhouse - Flavored
12198,20.0,Sour / Wild Beer
12199,35.0,Saison / Farmhouse / Grisette
12201,100.0,IPA - Sour / Wild
12202,100.0,Sour / Wild Beer
12203,70.0,Saison / Farmhouse / Grisette
12204,70.0,Saison / Farmhouse / Grisette
12205,100.0,ISA - Session IPA
12206,125.0,IIPA - Imperial / Double IPA
12207,30.0,Saison / Farmhouse / Grisette
12208,75.0,Stout - Imperial
12209,65.0,IPA - Sour / Wild
12210,100.0,Sour / Wild Beer
12211,35.0,Saison / Farmhouse / Grisette
12212,35.0,Saison / Farmhouse / Grisette
12213,5.0,Sour / Wild Beer
12214,32.0,Saison / Farmhouse / Grisette
12215,54.0,IPA
12216,30.0,Stout - Milk / Sweet
12217,14.0,Scottish Ale
12218,57.0,Specialty Grain - Other
12219,30.0,Bitter - Ordinary / Best
12220,25.0,Belgian Ale - Strong Pale
12221,47.0,Red Ale / Intl Amber Ale
12222,31.0,Stout - Milk / Sweet
12223,71.0,Altbier / Sticke Alt
12224,90.0,IPA - Black/Brown/Cascadian Dark
12225,45.0,Flavored - Other
12226,31.0,Stout - Milk / Sweet
12227,10.0,Flavored - Other
12228,35.0,Pilsener / Pils / Pilsner
12229,29.0,Kölsch / Kölsch-Style
12230,120.0,BarleyWine / WheatWine / RyeWine
12231,31.0,Stout - Milk / Sweet
12232,55.0,Saison / Farmhouse / Grisette
12233,55.0,Pale Ale - American / APA
12234,25.0,Belgian Ale - Pale / Golden
12235,38.0,Wheat Ale
12236,47.0,IPA
12237,65.0,IPA
12238,65.0,IPA
12239,25.0,Flavored - Fruit
12240,39.0,Pilsener - Czech / Svetlý
12241,20.0,Cream Ale
12242,26.0,Brown Ale
12243,70.0,IPA
12244,65.0,IPA
12245,50.0,Pale Ale - American / APA
12246,85.0,IPA - Black/Brown/Cascadian Dark
12247,85.0,IPA
12248,35.0,IPA
12249,31.0,Saison / Farmhouse / Grisette
12250,63.0,Specialty Grain - Other
12251,19.0,Kölsch / Kölsch-Style
12252,35.0,Porter - Imperial
12253,12.0,Gose
12254,10.0,Flavored - Fruit
12255,33.0,Scottish Ale
12256,33.0,Red Ale - Irish
12257,33.0,Sour / Wild Beer
12258,25.0,Amber Lager - Intl / Vienna
12259,29.0,Saison / Farmhouse / Grisette
12260,29.0,Flavored - Other
12261,40.0,Sour / Wild Beer
12262,55.0,ISA - Session IPA
12263,30.0,Pale Ale - American / APA
12264,11.0,Flavored - Other
12265,14.0,Blonde Ale / Golden Ale
12266,12.0,Gose
12267,18.0,Dubbel
12268,70.0,IIPA - Imperial / Double IPA
12269,10.0,Flavored - Fruit
12270,43.0,Porter
12271,34.0,Pale Ale - American / APA
12272,40.0,Porter
12273,10.0,Weissbier - Hefeweizen
12274,32.0,Stout - Milk / Sweet
12275,10.0,Flavored - Fruit
12276,24.0,Flavored - Other
12277,20.0,Flavored - Other
12278,22.0,Scottish Ale
12279,24.0,Saison / Farmhouse / Grisette
12280,94.0,ISA - Session IPA
12281,80.0,IPA
12282,85.0,IPA
12283,80.0,IPA
12284,20.0,Wheat Ale
12285,20.0,IPA - Milkshake
12286,60.0,IPA
12287,4.0,Berliner Weisse
12288,25.0,Saison/Farmhouse - Flavored
12289,18.0,Saison / Farmhouse / Grisette
12290,59.0,Pale Ale - American / APA
12291,70.0,IPA
12292,65.0,IPA
12293,65.0,IPA
12294,20.0,Pilsener / Pils / Pilsner
12295,90.0,IIPA - Imperial / Double IPA
12296,23.0,BarleyWine / WheatWine / RyeWine
12297,70.0,Stout - Imperial
12298,42.0,Quadrupel / Abt
12299,23.0,Saison / Farmhouse / Grisette
12300,15.0,Sour / Wild Beer
12301,24.0,Sour / Wild Beer
12302,17.0,Saison / Farmhouse / Grisette
12303,51.0,Stout - Imperial
12304,35.0,Quadrupel / Abt
12305,70.0,Stout - Imperial
12306,26.0,Sour / Wild Beer
12307,20.0,Belgian Ale - Strong Pale
12308,50.0,IPA
12309,25.0,Specialty Grain - Other
12310,30.0,Flavored - Fruit
12311,27.0,Kölsch / Kölsch-Style
12312,32.0,Porter
12313,63.0,IPA - Black/Brown/Cascadian Dark
12314,28.0,Specialty Grain - Other
12315,65.0,IPA
12316,84.0,IIPA - Imperial / Double IPA
12317,33.0,IPA - White
12318,28.0,Dubbel
12319,90.0,IIPA - Imperial / Double IPA
12320,57.0,Stout - Imperial
12321,120.0,Stout - Imperial Flavored
12322,36.0,Stout - Extra / Foreign
